Date,Open,High,Low,Close,Volume,Adj Close
2017-03-30,115.00,115.00,115.00,115.00,000,115.00
2017-03-29,115.00,115.00,115.00,115.00,1000,115.00
2017-03-28,110.00,110.00,110.00,110.00,000,110.00
2017-03-27,110.00,112.00,110.00,110.00,2000,110.00
2017-03-24,116.00,116.00,116.00,116.00,500,116.00
2017-03-23,117.00,120.00,116.00,118.00,3100,118.00
2017-03-22,123.00,123.00,117.00,117.00,8300,117.00
2017-03-21,128.00,128.00,113.00,113.00,15700,113.00
2017-03-20,114.00,114.00,114.00,114.00,1100,114.00
2017-03-17,128.00,128.00,111.00,116.00,17400,116.00
2017-03-16,133.00,133.00,133.00,133.00,000,133.00
2017-03-15,133.00,133.00,133.00,133.00,100,133.00
2017-03-14,116.00,134.00,116.00,125.00,22300,125.00
2017-03-13,115.00,115.00,115.00,115.00,1000,115.00
2017-03-10,110.00,110.00,110.00,110.00,000,110.00
2017-03-09,110.00,110.00,110.00,110.00,000,110.00
2017-03-08,110.00,110.00,110.00,110.00,000,110.00
2017-03-07,110.00,110.00,110.00,110.00,10100,110.00
2017-03-06,110.00,110.00,110.00,110.00,000,110.00
2017-03-03,111.00,111.00,110.00,110.00,9900,110.00
2017-03-02,114.00,114.00,113.00,113.00,14000,113.00
2017-03-01,116.00,116.00,116.00,116.00,000,116.00
2017-02-28,114.00,117.00,114.00,116.00,23000,116.00
2017-02-27,114.00,114.00,114.00,114.00,11900,114.00
2017-02-24,115.00,115.00,115.00,115.00,500,115.00
2017-02-23,116.00,116.00,115.00,115.00,4200,115.00
2017-02-22,114.00,116.00,114.00,116.00,569400,116.00
2017-02-21,119.00,119.00,119.00,119.00,10000,119.00
2017-02-20,120.00,120.00,119.00,119.00,25000,119.00
2017-02-17,120.00,120.00,119.00,120.00,16500,120.00
2017-02-16,120.00,120.00,120.00,120.00,20000,120.00
2017-02-15,120.00,120.00,120.00,120.00,000,120.00
2017-02-14,124.00,124.00,120.00,120.00,10200,120.00
2017-02-13,120.00,125.00,120.00,124.00,19000,124.00
2017-02-10,118.00,120.00,118.00,120.00,50900,120.00
2017-02-09,125.00,125.00,118.00,118.00,40100,118.00
2017-02-08,125.00,125.00,125.00,125.00,000,125.00
2017-02-07,126.00,126.00,125.00,125.00,42600,125.00
2017-02-06,127.00,131.00,126.00,126.00,19100,126.00
2017-02-03,127.00,127.00,126.00,127.00,35700,127.00
2017-02-02,137.00,147.00,125.00,127.00,4592900,127.00
2017-02-01,139.00,139.00,135.00,137.00,115500,137.00
2017-01-31,139.00,140.00,132.00,139.00,48600,139.00
2017-01-30,131.00,134.00,130.00,134.00,71800,134.00
2017-01-27,130.00,133.00,130.00,131.00,122900,131.00
2017-01-26,125.00,140.00,125.00,131.00,257100,131.00
2017-01-25,125.00,125.00,125.00,125.00,20800,125.00
2017-01-24,125.00,125.00,125.00,125.00,000,125.00
2017-01-23,125.00,125.00,125.00,125.00,000,125.00
2017-01-20,125.00,125.00,125.00,125.00,400,125.00
2017-01-19,123.00,124.00,123.00,123.00,22200,123.00
2017-01-18,123.00,129.00,121.00,124.00,300,124.00
2017-01-17,120.00,130.00,120.00,123.00,127500,123.00
2017-01-16,119.00,120.00,119.00,120.00,2200,120.00
2017-01-13,112.00,119.00,112.00,119.00,13300,119.00
2017-01-12,118.00,122.00,117.00,119.00,15100,119.00
2017-01-11,120.00,130.00,118.00,118.00,83700,118.00
2017-01-10,125.00,125.00,120.00,120.00,400,120.00
2017-01-09,119.00,130.00,119.00,125.00,10200,125.00
2017-01-06,119.00,119.00,119.00,119.00,000,119.00
2017-01-05,119.00,119.00,119.00,119.00,000,119.00
2017-01-04,119.00,119.00,119.00,119.00,000,119.00
2017-01-03,112.00,119.00,112.00,119.00,1100,119.00
2017-01-02,120.00,120.00,120.00,120.00,000,120.00
2016-12-30,120.00,120.00,120.00,120.00,000,120.00
2016-12-29,113.00,120.00,112.00,120.00,5800,120.00
2016-12-28,111.00,115.00,111.00,115.00,44500,115.00
2016-12-27,113.00,113.00,110.00,110.00,226400,110.00
2016-12-26,120.00,120.00,120.00,120.00,000,120.00
2016-12-23,113.00,120.00,113.00,120.00,170100,120.00
2016-12-22,114.00,114.00,114.00,114.00,100,114.00
2016-12-21,119.00,119.00,112.00,112.00,57300,112.00
2016-12-20,119.00,119.00,119.00,119.00,000,119.00
2016-12-19,123.00,123.00,119.00,119.00,83200,119.00
2016-12-16,125.00,125.00,121.00,122.00,117700,122.00
2016-12-15,125.00,125.00,125.00,125.00,500,125.00
2016-12-14,127.00,130.00,125.00,125.00,38800,125.00
2016-12-13,127.00,130.00,126.00,130.00,5300,130.00
2016-12-12,127.00,127.00,127.00,127.00,000,127.00
2016-12-09,128.00,128.00,127.00,127.00,9800,127.00
2016-12-08,128.00,131.00,128.00,128.00,14100,128.00
2016-12-07,128.00,131.00,128.00,131.00,11400,131.00
2016-12-06,130.00,135.00,127.00,128.00,161600,128.00
2016-12-05,132.00,150.00,132.00,132.00,5811000,132.00
2016-12-02,130.00,130.00,130.00,130.00,101100,130.00
2016-12-01,135.00,135.00,129.00,134.00,26000,134.00
2016-11-30,129.00,135.00,129.00,135.00,13200,135.00
2016-11-29,128.00,134.00,128.00,134.00,110000,134.00
2016-11-28,139.00,142.00,128.00,137.00,2000,137.00
2016-11-25,142.00,142.00,139.00,139.00,400,139.00
2016-11-24,126.00,133.00,126.00,133.00,7900,133.00
2016-11-23,140.00,140.00,140.00,140.00,100,140.00
2016-11-22,124.00,132.00,124.00,132.00,92300,132.00
2016-11-21,134.00,133.00,133.00,133.00,500,133.00
2016-11-18,125.00,134.00,125.00,134.00,200,134.00
2016-11-17,136.00,136.00,136.00,136.00,000,136.00
2016-11-16,124.00,140.00,124.00,136.00,2200,136.00
2016-11-15,124.00,124.00,124.00,124.00,200000,124.00
2016-11-14,122.00,133.00,122.00,133.00,5200,133.00
2016-11-11,134.00,134.00,134.00,134.00,000,134.00
2016-11-10,134.00,134.00,134.00,134.00,1600,134.00
2016-11-09,134.00,134.00,134.00,134.00,1500,134.00
2016-11-08,122.00,131.00,122.00,131.00,600,131.00
2016-11-07,135.00,135.00,132.00,132.00,900,132.00
2016-11-04,134.00,135.00,134.00,135.00,100,135.00
2016-11-03,134.00,134.00,134.00,134.00,000,134.00
2016-11-02,138.00,138.00,129.00,134.00,300,134.00
2016-11-01,130.00,139.00,130.00,139.00,200,139.00
2016-10-31,127.00,139.00,127.00,130.00,23700,130.00
2016-10-28,128.00,128.00,128.00,128.00,000,128.00
2016-10-27,123.00,128.00,120.00,128.00,32600,128.00
2016-10-26,127.00,127.00,127.00,127.00,5000,127.00
2016-10-25,124.00,134.00,124.00,129.00,544000,129.00
2016-10-24,125.00,137.00,122.00,129.00,114900,129.00
2016-10-21,120.00,125.00,120.00,125.00,45000,125.00
2016-10-20,123.00,126.00,121.00,124.00,151300,124.00
2016-10-19,126.00,130.00,120.00,128.00,43800,128.00
2016-10-18,126.00,128.00,126.00,128.00,10200,128.00
2016-10-17,120.00,132.00,120.00,129.00,5100,129.00
2016-10-14,123.00,133.00,123.00,133.00,1500,133.00
2016-10-13,120.00,134.00,120.00,133.00,800,133.00
2016-10-12,120.00,130.00,120.00,130.00,2600,130.00
2016-10-11,132.00,132.00,121.00,130.00,1500,130.00
2016-10-10,131.00,132.00,121.00,132.00,6200,132.00
2016-10-07,122.00,131.00,122.00,131.00,200,131.00
2016-10-06,128.00,132.00,128.00,132.00,6700,132.00
2016-10-05,128.00,133.00,128.00,133.00,17600,133.00
2016-10-04,130.00,130.00,129.00,130.00,6200,130.00
2016-10-03,135.00,135.00,123.00,130.00,37900,130.00
2016-09-30,134.00,134.00,130.00,130.00,25200,130.00
2016-09-29,134.00,134.00,124.00,134.00,11100,134.00
2016-09-28,130.00,135.00,130.00,135.00,13200,135.00
2016-09-27,134.00,134.00,134.00,134.00,000,134.00
2016-09-26,138.00,138.00,132.00,134.00,1500,134.00
2016-09-23,136.00,138.00,127.00,136.00,14400,136.00
2016-09-22,135.00,135.00,127.00,127.00,13800,127.00
2016-09-21,135.00,135.00,135.00,135.00,100,135.00
2016-09-20,128.00,130.00,128.00,130.00,29100,130.00
2016-09-19,130.00,132.00,130.00,132.00,16400,132.00
2016-09-16,135.00,143.00,130.00,130.00,839100,130.00
2016-09-15,135.00,135.00,135.00,135.00,21600,135.00
2016-09-14,131.00,140.00,130.00,131.00,69800,131.00
2016-09-13,125.00,142.00,125.00,142.00,28300,142.00
2016-09-12,136.00,136.00,136.00,136.00,000,136.00
2016-09-09,137.00,137.00,131.00,136.00,23700,136.00
2016-09-08,133.00,137.00,132.00,137.00,103500,137.00
2016-09-07,150.00,150.00,134.00,136.00,59500,136.00
2016-09-06,135.00,140.00,131.00,140.00,159100,140.00
2016-09-05,135.00,144.00,135.00,136.00,144400,136.00
2016-09-02,149.00,149.00,139.00,139.00,316500,139.00
2016-09-01,168.00,195.00,152.00,152.00,19688900,152.00
2016-08-31,141.00,169.00,131.00,168.00,5047200,168.00
2016-08-30,127.00,136.00,127.00,128.00,14200,128.00
2016-08-29,125.00,126.00,125.00,126.00,190800,126.00
2016-08-26,137.00,137.00,135.00,135.00,2700,135.00
2016-08-25,137.00,137.00,129.00,129.00,4100,129.00
2016-08-24,137.00,139.00,127.00,137.00,12300,137.00
2016-08-23,141.00,142.00,138.00,139.00,3300,139.00
2016-08-22,270.00,280.00,270.00,280.00,13200,140.00
2016-08-19,280.00,280.00,264.00,276.00,12600,138.00
2016-08-18,262.00,280.00,260.00,280.00,10800,140.00
2016-08-17,516.00,516.00,516.00,516.00,000,258.00
2016-08-16,516.00,520.00,508.00,516.00,11400,258.00
2016-08-15,512.00,516.00,512.00,516.00,8000,258.00
2016-08-12,512.00,512.00,512.00,512.00,000,256.00
2016-08-11,512.00,512.00,512.00,512.00,000,256.00
2016-08-10,512.00,512.00,512.00,512.00,100,256.00
2016-08-09,480.00,484.00,460.00,484.00,19000,242.00
2016-08-08,508.00,508.00,508.00,508.00,12000,254.00
2016-08-05,512.00,512.00,512.00,512.00,000,256.00
2016-08-04,480.00,512.00,472.00,512.00,500,256.00
2016-08-03,472.00,512.00,472.00,512.00,500,256.00
2016-08-02,480.00,480.00,480.00,480.00,19800,240.00
2016-08-01,532.00,532.00,532.00,532.00,000,266.00
2016-07-29,532.00,532.00,532.00,532.00,100,266.00
2016-07-28,492.00,492.00,492.00,492.00,000,246.00
2016-07-27,480.00,492.00,480.00,492.00,6100,246.00
2016-07-26,516.00,516.00,516.00,516.00,200,258.00
2016-07-25,516.00,516.00,516.00,516.00,000,258.00
2016-07-22,516.00,516.00,516.00,516.00,000,258.00
2016-07-21,516.00,516.00,516.00,516.00,000,258.00
2016-07-20,516.00,516.00,516.00,516.00,000,258.00
2016-07-19,516.00,516.00,516.00,516.00,100,258.00
2016-07-18,496.00,496.00,496.00,496.00,1700,248.00
2016-07-15,500.00,500.00,500.00,500.00,000,250.00
2016-07-14,480.00,500.00,480.00,500.00,300,250.00
2016-07-13,492.00,492.00,492.00,492.00,000,246.00
2016-07-12,492.00,492.00,492.00,492.00,000,246.00
2016-07-11,492.00,492.00,492.00,492.00,000,246.00
2016-07-08,492.00,492.00,492.00,492.00,000,246.00
2016-07-07,492.00,492.00,492.00,492.00,000,246.00
2016-07-06,492.00,492.00,492.00,492.00,000,246.00
2016-07-05,492.00,492.00,492.00,492.00,000,246.00
2016-07-04,492.00,492.00,492.00,492.00,000,246.00
2016-07-01,492.00,492.00,492.00,492.00,000,246.00
2016-06-30,492.00,492.00,452.00,492.00,2500,246.00
2016-06-29,500.00,500.00,500.00,500.00,000,250.00
2016-06-28,500.00,500.00,500.00,500.00,000,250.00
2016-06-27,500.00,500.00,500.00,500.00,000,250.00
2016-06-24,500.00,500.00,500.00,500.00,000,250.00
2016-06-23,500.00,500.00,500.00,500.00,000,250.00
2016-06-22,500.00,500.00,500.00,500.00,000,250.00
2016-06-21,500.00,500.00,500.00,500.00,000,250.00
2016-06-20,500.00,500.00,500.00,500.00,000,250.00
2016-06-17,520.00,560.00,496.00,500.00,500,250.00
2016-06-16,520.00,520.00,520.00,520.00,000,260.00
2016-06-15,520.00,520.00,520.00,520.00,100,260.00
2016-06-14,480.00,480.00,480.00,480.00,000,240.00
2016-06-13,480.00,480.00,480.00,480.00,000,240.00
2016-06-10,480.00,480.00,480.00,480.00,000,240.00
2016-06-09,480.00,480.00,480.00,480.00,000,240.00
2016-06-08,480.00,480.00,480.00,480.00,000,240.00
2016-06-07,480.00,480.00,480.00,480.00,000,240.00
2016-06-06,452.00,496.00,452.00,480.00,2600,240.00
2016-06-03,444.00,500.00,444.00,500.00,800,250.00
2016-06-02,480.00,480.00,480.00,480.00,000,240.00
2016-06-01,496.00,496.00,480.00,480.00,500,240.00
2016-05-31,540.00,540.00,480.00,496.00,6400,248.00
2016-05-30,520.00,520.00,520.00,520.00,100,260.00
2016-05-27,524.00,524.00,524.00,524.00,000,262.00
2016-05-26,524.00,524.00,524.00,524.00,000,262.00
2016-05-25,524.00,524.00,524.00,524.00,100,262.00
2016-05-24,532.00,536.00,532.00,532.00,300,266.00
2016-05-23,496.00,496.00,496.00,496.00,000,248.00
2016-05-20,500.00,500.00,480.00,496.00,300,248.00
2016-05-19,500.00,540.00,500.00,500.00,400,250.00
2016-05-18,500.00,500.00,500.00,500.00,000,250.00
2016-05-17,500.00,500.00,500.00,500.00,200,250.00
2016-05-16,500.00,500.00,500.00,500.00,000,250.00
2016-05-13,540.00,540.00,500.00,500.00,500,250.00
2016-05-12,540.00,540.00,540.00,540.00,000,270.00
2016-05-11,540.00,540.00,540.00,540.00,300,270.00
2016-05-10,460.00,500.00,460.00,500.00,30700,250.00
2016-05-09,508.00,508.00,508.00,508.00,000,254.00
2016-05-06,508.00,508.00,508.00,508.00,000,254.00
